Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-52,NaN,25.3,,,
0.06,16,-60.6,0.0035,25.4,,,
0.12,36,-48.9,0.003,25.4,,,
0.18,56,-32.1,0.003,25.4,,,
0.24,76,-12.5,0.003,25.4,,,
0.3,97,0.7,0.003,25.4,,,
0.36,117,10.3,0.003,25.4,,,
0.42,137,18.1,0.003,25.4,,,
0.48,157,25,0.003,25.4,,,
0.54,177,31.2,0.003,25.4,,,
0.6,197,37.1,0.003,25.4,,,
0.66,218,42.6,0.003,25.4,,,
0.72,238,47.9,0.003,25.4,,,
0.78,258,53,0.003,25.4,,,
0.84,278,58.1,0.003,25.4,,,
0.9,298,63.1,0.003,25.4,,,
0.96,318,68.4,0.003,25.4,,,
1.02,338,73.9,0.003,25.4,,,
1.08,354,79.7,0.0035,25.4,,,
1.14,374,86.6,0.003,25.4,,,
1.2,393,94.6,0.003,25.4,,,
1.26,410,104.6,0.0035,25.4,224.72,2.35,
1.32,427,118.4,0.0035,25.4,282.72,2.45,
1.38,440,139.3,0.005,25.4,324.74,2.51,
1.44,448,164.1,0.007,25.4,328.43,2.52,
1.5,455,180.9,0.0085,25.4,282.62,2.45,
1.53,551,187.2,0.0005,25.4,238.61,2.38,
1.56,557,192.2,0.005,25.4,177.25,2.25,
1.59,563,196.4,0.005,25.4,129.05,2.11,
1.62,568,200.2,0.006,25.4,112.44,2.05,
1.65,574,203.4,0.005,25.4,101.05,2,
1.68,579,206.3,0.0055,25.4,91.29,1.96,
1.71,584,208.9,0.0055,25.4,82.91,1.92,
1.74,590,211.3,0.0055,25.4,75.78,1.88,
1.77,595,213.5,0.0065,25.4,70.02,1.85,
1.8,600,215.5,0.006,25.4,64.56,1.81,
1.83,605,217.4,0.006,25.4,59.56,1.77,
1.86,610,219.1,0.006,25.4,55.22,1.74,
1.89,615,220.7,0.006,25.4,51.56,1.71,
1.92,620,222.2,0.0055,25.4,48.94,1.69,
1.95,625,223.6,0.0055,25.4,46.42,1.67,
1.98,630,225,0.0055,25.4,44.46,1.65,
2.01,636,226.3,0.0055,25.4,42.67,1.63,
2.04,641,227.6,0.0065,25.4,40.81,1.61,
2.07,646,228.7,0.0065,25.4,39,1.59,
2.1,651,229.9,0.006,25.4,37,1.57,
2.13,656,231,0.006,25.4,35.13,1.55,
2.16,661,232,0.006,25.4,,,
2.19,666,233,0.006,25.4,,,
2.22,671,233.9,0.006,25.4,,,
2.25,676,234.8,0.006,25.4,,,
2.28,681,235.7,0.0055,25.4,,,
Scope 1/1, Sample 1/18 (CRM),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-26.7,NaN,25.4,,,
0.06,8,-49.4,0.0075,25.4,,,
0.12,28,-31.8,0.003,25.4,,,
0.18,48,-11.9,0.003,25.4,,,
0.24,68,1,0.003,25.4,,,
0.3,88,10.2,0.003,25.4,,,
0.36,109,18,0.003,25.4,,,
0.42,129,25.2,0.003,25.4,,,
0.48,149,31.8,0.003,25.4,,,
0.54,169,37.8,0.003,25.4,,,
0.6,189,43.5,0.003,25.4,,,
0.66,209,48.8,0.003,25.4,,,
0.72,229,53.8,0.003,25.4,,,
0.78,250,58.8,0.003,25.4,,,
0.84,270,64.1,0.003,25.4,,,
0.9,289,69.2,0.003,25.4,,,
0.96,308,75,0.003,25.4,,,
1.02,328,81.5,0.003,25.4,,,
1.08,346,88.8,0.003,25.4,,,
1.14,364,97.5,0.0035,25.4,,,
1.2,382,109.6,0.0035,25.4,264.13,2.42,
1.26,397,127,0.004,25.4,315.36,2.5,
1.32,407,151.8,0.006,25.4,338.78,2.53,
1.38,416,173.7,0.007,25.4,315.61,2.5,
1.44,421,187.4,0.011,25.4,246.67,2.39,
1.47,518,192.3,0.0005,25.4,192.29,2.28,
1.5,524,196.5,0.0055,25.4,135.06,2.13,
1.53,529,200.2,0.006,25.4,107.23,2.03,
1.56,534,203.4,0.006,25.4,98.56,1.99,
1.59,540,206.3,0.0055,25.4,90.67,1.96,
1.62,546,208.9,0.005,25.4,81.86,1.91,
1.65,551,211.2,0.006,25.4,74.77,1.87,
1.68,556,213.4,0.006,25.4,68.84,1.84,
1.71,562,215.4,0.005,25.4,64.02,1.81,
1.74,567,217.2,0.0055,25.4,60.09,1.78,
1.77,572,219,0.0055,25.4,56.08,1.75,
1.8,578,220.6,0.0055,25.4,52.79,1.72,
1.83,584,222.2,0.0055,25.4,49.44,1.69,
1.86,589,223.6,0.0065,25.4,46.59,1.67,
1.89,594,224.9,0.0065,25.4,43.96,1.64,
1.92,599,226.3,0.006,25.4,42.13,1.62,
1.95,604,227.4,0.006,25.4,40.28,1.61,
1.98,609,228.7,0.006,25.4,38.67,1.59,
2.01,614,229.8,0.006,25.4,36.98,1.57,
2.04,619,230.9,0.006,25.4,35.3,1.55,
2.07,624,231.9,0.0055,25.4,,,
2.1,630,232.9,0.0055,25.4,,,
2.13,635,233.9,0.0065,25.4,,,
2.16,640,234.8,0.006,25.4,,,
2.19,645,235.7,0.0055,25.4,,,
Scope 1/1, Sample 1/18 (Junk2),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-71.9,NaN,25.3,,,
0.06,10,-73.8,0.006,25.4,,,
0.12,30,-64.4,0.003,25.4,,,
0.18,50,-52.5,0.003,25.4,,,
0.24,70,-36.3,0.003,25.4,,,
0.3,90,-15.6,0.003,25.4,,,
0.36,111,-0.3,0.003,25.4,,,
0.42,131,10,0.003,25.4,,,
0.48,151,18.4,0.003,25.4,,,
0.54,171,25.7,0.003,25.4,,,
0.6,191,32.6,0.003,25.4,,,
0.66,211,38.8,0.003,25.4,,,
0.72,231,44.8,0.003,25.4,,,
0.78,252,50.7,0.003,25.4,,,
0.84,272,56.3,0.003,25.4,,,
0.9,292,61.8,0.003,25.4,,,
0.96,312,67.7,0.003,25.4,,,
1.02,332,73.9,0.003,25.4,,,
1.08,351,80.4,0.003,25.4,,,
1.14,369,87.7,0.0035,25.4,,,
1.2,387,96.8,0.0035,25.4,,,
1.26,405,108.3,0.0035,25.4,260.82,2.42,
1.32,421,125.2,0.004,25.4,313.57,2.5,
1.38,432,150.1,0.005,25.4,339.61,2.53,
1.44,440,172.6,0.0075,25.4,319.81,2.5,
1.5,446,186.5,0.0095,25.4,253.87,2.4,
1.53,542,191.8,0.0005,25.4,199.19,2.3,
1.56,548,196.1,0.0055,25.4,139.93,2.15,
1.59,553,199.8,0.006,25.4,110.31,2.04,
1.62,558,203.1,0.006,25.4,101.14,2,
1.65,563,206.1,0.006,25.4,91.89,1.96,
1.68,568,208.7,0.0055,25.4,83.53,1.92,
1.71,573,211.1,0.0055,25.4,76.11,1.88,
1.74,579,213.3,0.0055,25.4,70.36,1.85,
1.77,584,215.3,0.006,25.4,65.18,1.81,
1.8,589,217.2,0.006,25.4,60.74,1.78,
1.83,594,219,0.006,25.4,56.61,1.75,
1.86,599,220.7,0.006,25.4,52.9,1.72,
1.89,604,222.1,0.0055,25.4,49.95,1.7,
1.92,609,223.6,0.0055,25.4,47.15,1.67,
1.95,614,225,0.0055,25.4,44.59,1.65,
1.98,620,226.3,0.0055,25.4,42.28,1.63,
2.01,625,227.6,0.0065,25.4,40.33,1.61,
2.04,630,228.7,0.0065,25.4,38.09,1.58,
2.07,635,229.8,0.006,25.4,36.81,1.57,
2.1,640,230.9,0.006,25.4,35.66,1.55,
2.13,645,232,0.006,25.4,,,
2.16,650,233,0.006,25.4,,,
2.19,655,234,0.006,25.4,,,
2.22,660,234.9,0.006,25.4,,,
2.25,665,235.8,0.0055,25.4,,,
Scope 1/1, Sample 1/18 (C1_End_0626_2300),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-32.4,NaN,23.8,,,
0.06,8,-54.3,0.0075,23.8,,,
0.12,28,-39.2,0.003,23.8,,,
0.18,48,-17.1,0.003,23.8,,,
0.24,68,-0.7,0.003,23.8,,,
0.3,88,9.9,0.003,23.8,,,
0.36,108,18.4,0.003,23.8,,,
0.42,129,26,0.003,23.8,,,
0.48,149,32.8,0.003,23.9,,,
0.54,169,39.3,0.003,23.9,,,
0.6,189,45.6,0.003,23.9,,,
0.66,209,51.6,0.003,23.9,,,
0.72,229,57.5,0.003,23.9,,,
0.78,249,63.5,0.003,23.9,,,
0.84,270,69.8,0.003,24,,,
0.9,290,76.4,0.003,24,,,
0.96,310,83.8,0.003,24,,,
1.02,328,92.3,0.0035,24,,,
1.08,348,103.5,0.003,24,249.08,2.4,
1.14,364,118.8,0.004,24,306.97,2.49,
1.2,377,142.9,0.0045,24,343.36,2.54,
1.26,386,167.5,0.0065,24,335.33,2.53,
1.32,393,183.1,0.0085,24.1,276,2.44,
1.35,490,189.1,0.0005,24.1,224.21,2.35,
1.38,497,193.8,0.0045,24.1,158.89,2.2,
1.41,503,197.7,0.005,24.1,118.43,2.07,
1.44,509,201.2,0.005,24.1,105.09,2.02,
1.47,515,204.2,0.005,24.1,94.04,1.97,
1.5,520,206.9,0.0055,24.1,85.48,1.93,
1.53,526,209.4,0.005,24.1,77.91,1.89,
1.56,532,211.6,0.005,24.1,71.44,1.85,
1.59,538,213.7,0.0055,24.1,66.17,1.82,
1.62,543,215.6,0.006,24.2,62.08,1.79,
1.65,548,217.4,0.006,24.2,58.43,1.77,
1.68,553,219.1,0.0055,24.2,54.74,1.74,
1.71,558,220.7,0.0055,24.2,51.46,1.71,
1.74,565,222.3,0.0045,24.2,48.82,1.69,
1.77,570,223.6,0.006,24.2,45.89,1.66,
1.8,575,224.9,0.0055,24.2,43.66,1.64,
1.83,581,226.3,0.005,24.2,41.66,1.62,
1.86,586,227.5,0.006,24.2,39.75,1.6,
1.89,591,228.6,0.006,24.2,38.2,1.58,
1.92,596,229.8,0.006,24.2,36,1.56,
1.95,601,230.8,0.0055,24.2,34.08,1.53,
1.98,606,231.8,0.0055,24.2,,,
2.01,612,232.8,0.0055,24.2,,,
2.04,617,233.7,0.006,24.2,,,
2.07,622,234.6,0.006,24.2,,,
2.1,627,235.5,0.006,24.2,,,
Scope 1/1, Sample 1/18 (C2_End_0626_2300),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-18.4,NaN,22,,,
0.06,13,-49,0.0045,21.8,,,
0.12,33,-34.1,0.003,21.8,,,
0.18,54,-14,0.003,21.9,,,
0.24,74,0,0.003,21.9,,,
0.3,94,9.3,0.003,22,,,
0.36,114,17.2,0.003,22,,,
0.42,134,23.9,0.003,22,,,
0.48,154,30.1,0.003,22.1,,,
0.54,174,35.9,0.003,22.1,,,
0.6,194,41.4,0.003,22.1,,,
0.66,214,46.9,0.003,22.2,,,
0.72,235,52.1,0.003,22.2,,,
0.78,255,57.2,0.003,22.2,,,
0.84,275,62.5,0.003,22.3,,,
0.9,295,67.9,0.003,22.3,,,
0.96,314,73.6,0.003,22.3,,,
1.02,335,80,0.003,22.4,,,
1.08,354,87.1,0.003,22.4,,,
1.14,372,95.4,0.0035,22.4,,,
1.2,390,106.4,0.0035,22.4,245.61,2.39,
1.26,408,122,0.0035,22.5,300.49,2.48,
1.32,419,145.3,0.0055,22.5,333.27,2.52,
1.38,428,168.7,0.007,22.5,322.32,2.51,
1.44,435,183.7,0.009,22.5,262.87,2.42,
1.47,531,189.2,0.0005,22.6,212.15,2.33,
1.5,537,193.6,0.005,22.6,151.54,2.18,
1.53,543,197.5,0.0055,22.7,114.56,2.06,
1.56,549,200.8,0.005,22.7,103.09,2.01,
1.59,556,204,0.0045,22.7,93.7,1.97,
1.62,561,206.6,0.006,22.7,84.65,1.93,
1.65,566,209,0.006,22.7,77.14,1.89,
1.68,572,211.2,0.0055,22.7,70.25,1.85,
1.71,577,213.2,0.006,22.7,65.15,1.81,
1.74,583,215.2,0.005,22.7,62.02,1.79,
1.77,588,217,0.006,22.7,57.7,1.76,
1.8,593,218.5,0.0055,22.7,53.41,1.73,
1.83,599,220.3,0.005,22.7,50.38,1.7,
1.86,604,221.7,0.006,22.7,46.99,1.67,
1.89,609,222.9,0.0055,22.7,44.76,1.65,
1.92,615,224.3,0.0055,22.8,42.91,1.63,
1.95,620,225.7,0.006,22.8,41.08,1.61,
1.98,625,226.7,0.006,22.8,39.82,1.6,
2.01,632,228,0.0045,22.8,37.38,1.57,
2.04,637,229.1,0.0065,22.8,34.73,1.54,
2.07,642,230.1,0.0065,22.8,33.58,1.53,
2.1,647,231,0.006,22.8,33.2,1.52,
2.13,652,232,0.006,22.8,,,
2.16,657,233,0.0055,22.8,,,
2.19,662,234,0.0055,22.8,,,
2.22,668,234.9,0.0055,22.8,,,
2.25,673,235.7,0.0065,22.8,,,
Scope 1/1, Sample 1/18 (C3_End_0626_2300),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-15.5,NaN,22.4,,,
0.06,13,-47.9,0.0045,22.3,,,
0.12,33,-33.3,0.003,22.3,,,
0.18,53,-13.8,0.003,22.4,,,
0.24,74,-0.1,0.003,22.4,,,
0.3,94,9.1,0.003,22.4,,,
0.36,114,16.6,0.003,22.5,,,
0.42,134,23.2,0.003,22.5,,,
0.48,154,29.2,0.003,22.5,,,
0.54,174,34.9,0.003,22.6,,,
0.6,194,40.3,0.003,22.6,,,
0.66,214,45.6,0.003,22.6,,,
0.72,235,50.5,0.003,22.6,,,
0.78,255,55.5,0.003,22.7,,,
0.84,275,60.6,0.003,22.7,,,
0.9,295,65.7,0.003,22.7,,,
0.96,313,70.8,0.0035,22.7,,,
1.02,334,76.7,0.003,22.8,,,
1.08,352,83.1,0.0035,22.8,,,
1.14,372,90.4,0.003,22.8,,,
1.2,390,99.1,0.0035,22.8,,,
1.26,408,110.8,0.0035,22.9,260.45,2.42,
