TREATMENT,DATE,TANK_NUM,pH_range,pH_dailymean
Algae_Dom,20240602,1,0.2503941290094218,8.130515046149306
Algae_Dom,20240602,1,0.2503941290094218,8.130515046149306
Algae_Dom,20240602,1,0.2503941290094218,8.130515046149306
Algae_Dom,20240602,1,0.2503941290094218,8.130515046149306
Algae_Dom,20240602,4,0.08561330970917247,8.022161431550089
Algae_Dom,20240602,4,0.08561330970917247,8.022161431550089
Algae_Dom,20240602,4,0.08561330970917247,8.022161431550089
Algae_Dom,20240602,4,0.08561330970917247,8.022161431550089
Algae_Dom,20240602,13,0.22206002670374314,8.069044151794238
Algae_Dom,20240602,13,0.22206002670374314,8.069044151794238
Algae_Dom,20240602,13,0.22206002670374314,8.069044151794238
Algae_Dom,20240602,13,0.22206002670374314,8.069044151794238
Algae_Dom,20240602,14,0.1439797210888747,8.035443589418225
Algae_Dom,20240602,14,0.1439797210888747,8.035443589418225
Algae_Dom,20240602,14,0.1439797210888747,8.035443589418225
Algae_Dom,20240602,14,0.1439797210888747,8.035443589418225
Algae_Dom,20240605,1,0.07363252825718458,8.023282900685736
Algae_Dom,20240605,1,0.07363252825718458,8.023282900685736
Algae_Dom,20240605,1,0.07363252825718458,8.023282900685736
Algae_Dom,20240605,1,0.07363252825718458,8.023282900685736
Algae_Dom,20240605,4,0.02954478294553553,8.005965903655534
Algae_Dom,20240605,4,0.02954478294553553,8.005965903655534
Algae_Dom,20240605,4,0.02954478294553553,8.005965903655534
Algae_Dom,20240605,4,0.02954478294553553,8.005965903655534
Algae_Dom,20240605,13,0.19328744115699692,8.083198614812025
Algae_Dom,20240605,13,0.19328744115699692,8.083198614812025
Algae_Dom,20240605,13,0.19328744115699692,8.083198614812025
Algae_Dom,20240605,13,0.19328744115699692,8.083198614812025
Algae_Dom,20240605,14,0.05642946762096557,8.03812932852288
Algae_Dom,20240605,14,0.05642946762096557,8.03812932852288
Algae_Dom,20240605,14,0.05642946762096557,8.03812932852288
Algae_Dom,20240605,14,0.05642946762096557,8.03812932852288
Algae_Dom,20240606,1,-0.05455510699955113,8.053044156340802
Algae_Dom,20240606,1,-0.05455510699955113,8.053044156340802
Algae_Dom,20240606,1,-0.05455510699955113,8.053044156340802
Algae_Dom,20240606,1,-0.05455510699955113,8.053044156340802
Algae_Dom,20240606,4,-0.07035247652240528,8.04171155855379
Algae_Dom,20240606,4,-0.07035247652240528,8.04171155855379
