TREATMENT,TANK_NUM,TA_mean,TA_se,deltaTA_mean,deltaTA_se,pH_mean,pH_se,deltapH_mean,deltapH_se,DOC_mean,DOC_se,deltaDOC_mean,deltaDOC_se,NEC_mean,NEC_se,NEP_mean,NEP_se
Algae_Dom,1,2342.7211082,5.4203600292180125,4.002749999999878,5.185454698887159,8.1189653730643,0.026442003195279885,0.08219937122586629,0.02030538868868983,180.766871762,18.27453300391761,9.611016263999996,11.910282637327887,0.15151133925925697,0.05193792398813858,2.6753873273540876,0.3930016471451254
Algae_Dom,4,2359.1165156,11.07755640570562,-11.401250000000005,9.119544874329636,8.15561983852433,0.0417467821488563,0.09482539601261428,0.030865600898962984,200.76570612,17.590074539587302,51.9953041925,13.642876687954992,-0.05342327333333459,0.09533360269853812,1.0010057626776059,0.3173131355969528
Algae_Dom,13,2349.6837756666664,3.209472878356504,2.111796400000003,3.2443641178954614,8.120485353536917,0.017016506044744462,0.10565547722117496,0.018176504668290492,119.46905213833332,6.897054053550652,-40.94508556,23.29847339449773,-0.17454286638933433,0.11819864839200364,1.4716639625395367,0.23078898708639883
Algae_Dom,14,2336.0678751666665,4.6620417256511075,10.797183200000017,5.943405672631108,8.10288656363121,0.016462567533105325,0.07624225613972764,0.010175429886742094,133.95012132666668,7.603406075313746,-26.464016371666666,19.145721606978267,-0.14257048036266906,0.14858423129307344,1.0711939377427857,0.21849453513591433
Control,3,2356.3022774,2.909559822159328,-8.663000000000011,3.9791400596152835,8.032729639445105,0.006755093409610669,0.008022733927353087,0.005018002508691709,122.9517569,11.758674147926888,5.928047494000002,7.8039392695378735,-0.05089008074074135,0.034454134412028645,-0.2192797245591956,0.06280057187497128
Control,8,2365.1388693333333,2.629590005929278,-12.092212000000018,4.160829909213559,8.045751913860402,0.00878185165058396,0.025791881747294004,0.005091347810842315,138.935722115,8.871806333929,-21.478415583333337,24.688469369473896,-0.20709265457777812,0.11296049305648971,0.06774870874594088,0.15024256812832104
Control,11,2362.1698238333333,1.9980548145671613,-10.40717880000002,2.910483991789978,8.044463500034981,0.00863311181168836,0.024978317714022775,0.005399242854250218,140.98875262666667,9.075876733309684,-19.42538507166667,17.354135159459155,-0.04143048955259154,0.03991839886119167,0.03261634963513891,0.061362574263042834
Control,15,2358.1669503333333,3.466041436156017,-4.887551600000007,2.80424577535479,8.039569499842584,0.007217970231425032,0.02029405329793179,0.004784386498835636,121.388284658,6.796556412553655,-50.19926924,22.959570289933808,-0.06596549623111188,0.06055270894366017,0.03129561997121026,0.24000666154928707
Coral_Dom,6,2310.6337286,6.106653081421175,40.713750000000005,6.288883108311052,8.103446444568132,0.014667811691584818,0.07387111753122652,0.015121818690498919,133.875350024,8.298744288066203,16.851640617999998,5.487402971901402,0.3250284111111124,0.054467937501512374,0.7455317446090459,0.08773222217773906
Coral_Dom,7,2324.5175566666667,4.503005587278382,20.87320400000008,9.086729021571948,8.109022831409847,0.02206322131123444,0.06604353928781206,0.014388474904953171,131.80319308333333,8.469672479560273,19.343862844999997,7.757850312325383,0.35961910828147925,0.0678340258249618,1.1310637620541832,0.1504950900498204
Coral_Dom,9,2267.4197298333333,18.45133736713707,54.685636599999995,12.746142375713651,8.102019804122046,0.022862095183623185,0.06713195324944371,0.013727175141057967,131.85800532166667,9.955334582381473,-28.556132376666667,16.611375431443253,0.302019380261925,0.0739516325251735,1.041820569182888,0.07469260919078873
Coral_Dom,16,2284.3792918,16.884386627568695,45.993197750000036,12.294299572775373,8.068377347799927,0.014370436643759966,0.05058625104020094,0.010348405165544399,122.44648984166666,6.6851083757042895,-37.96764785666667,25.172807332857644,0.669921156946668,0.10956791019637406,1.4094281551462773,0.1414464934841486
Rubble_Dom,2,2295.6878468,11.84209494505525,49.56875000000002,17.877624379423427,8.094969881885493,0.017638274688463303,0.06424330370663073,0.014436408494337178,126.7713251475,7.435362798570376,1.3120124900000008,2.8612368158212944,0.37897505703703727,0.14192328788764985,1.2839523925146998,0.2766870478727482
Rubble_Dom,5,2315.0641189999997,12.921215477519512,40.774250000000166,16.3759427160002,8.09269314559183,0.014198335025900644,0.04963415837944093,0.020772603915837445,121.635233264,6.4931845247397115,4.611523857999998,7.939600884498546,0.22924715703703918,0.07809942848537431,1.3893741428337765,0.4270901600710863
Rubble_Dom,10,2248.9404075,20.99366526818688,82.6272938,19.86900766601899,8.117052490866538,0.022076015855107965,0.08137930701311452,0.014092763773716266,123.46271333,8.626437308828184,-36.951424368333335,23.11981421034952,0.23924372112518427,0.06241328273664149,0.4585594970460912,0.18414875732988087
Rubble_Dom,12,2289.4544418333335,9.465289247298895,67.91320939999996,10.068349312387268,8.136682160363828,0.0236284871896226,0.1071957700835973,0.01749629993594174,125.93273312333334,5.759168588341039,-34.481404575,24.23832509861842,0.1539128426762963,0.02043878659119261,0.6553636149996662,0.07136041810311221
