TANK_NUM,TREATMENT,pH_rangemean,pH_rangese,pH_mean,pH_se,DATE,pH_range,pH_dailymean,pH_day_mean,pH_day_se,pH_night_mean,pH_night_se
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240602,0.2503941290094218,8.130515046149306,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240605,0.07363252825718458,8.023282900685736,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240606,-0.05455510699955113,8.053044156340802,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240607,0.053180471064557366,8.03685283942715,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240608,0.03540015697798893,7.98990225547907,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240609,0.07444040518859296,8.015193618622462,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240610,0.36055033765377154,7.912773052494631,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240611,0.10610804778648841,8.05350056817828,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240613,-0.15744470760547014,7.952795056854182,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240614,0.17349028344689277,8.037676475743854,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240615,0.1316056005198618,8.076047001010163,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240616,0.052745636540063146,8.036239684733848,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240618,0.23292387651468172,8.039467591914024,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240619,0.24023075654616566,8.073213433403042,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240620,0.3358262897308055,8.109624982270791,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
1,Algae_Dom,0.14051438567964353,0.036582970828334054,8.039743713602704,0.013864011972622981,20240626,0.3397014662428415,8.095770754335923,8.11677428575481,0.014080471678759242,7.98623746194353,0.00871393210896368
