Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-75.7,NaN,25.3,,,
0.06,12,-75.1,0.005,25.4,,,
0.12,32,-65.8,0.003,25.4,,,
0.18,53,-53.6,0.003,25.4,,,
0.24,73,-36.4,0.003,25.4,,,
0.3,93,-14.8,0.003,25.4,,,
0.36,113,0.6,0.003,25.4,,,
0.42,133,11.1,0.003,25.4,,,
0.48,153,19.7,0.003,25.4,,,
0.54,173,27.4,0.003,25.4,,,
0.6,193,34.4,0.003,25.4,,,
0.66,214,41,0.003,25.4,,,
0.72,234,47.3,0.003,25.4,,,
0.78,254,53.3,0.003,25.4,,,
0.84,274,59.3,0.003,25.4,,,
0.9,294,65.4,0.003,25.4,,,
0.96,314,71.8,0.003,25.4,,,
1.02,334,78.5,0.003,25.4,,,
1.08,353,86.2,0.003,25.4,,,
1.14,371,95.7,0.0035,25.4,,,
1.2,388,107.9,0.0035,25.4,274.98,2.44,
1.26,402,126.1,0.004,25.4,326.46,2.51,
1.32,412,152.1,0.0055,25.4,347.57,2.54,
1.38,420,174.1,0.0075,25.4,320.88,2.51,
1.44,426,187.8,0.01,25.4,248.22,2.39,
1.47,522,192.6,0.0005,25.4,190.26,2.28,
1.5,528,196.7,0.0055,25.4,131.63,2.12,
1.53,533,200.4,0.006,25.4,105.86,2.02,
1.56,538,203.5,0.0055,25.4,98.01,1.99,
1.59,544,206.5,0.0055,25.4,90.53,1.96,
1.62,549,209.1,0.0065,25.4,81.56,1.91,
1.65,554,211.4,0.006,25.4,73.94,1.87,
1.68,559,213.5,0.006,25.4,67.64,1.83,
1.71,564,215.4,0.006,25.4,62.49,1.8,
1.74,569,217.3,0.006,25.4,59.09,1.77,
1.77,574,219,0.006,25.4,55.75,1.75,
1.8,579,220.6,0.0055,25.4,52.47,1.72,
1.83,584,222.2,0.0055,25.4,49.14,1.69,
1.86,590,223.6,0.0055,25.4,45.89,1.66,
1.89,594,224.9,0.0065,25.4,43.81,1.64,
1.92,600,226.2,0.0055,25.4,41.61,1.62,
1.95,605,227.4,0.0065,25.4,40.13,1.6,
1.98,610,228.6,0.006,25.4,38.68,1.59,
2.01,615,229.8,0.006,25.4,36.99,1.57,
2.04,620,230.8,0.006,25.4,35.15,1.55,
2.07,625,231.9,0.006,25.4,,,
2.1,630,232.8,0.006,25.4,,,
2.13,635,233.8,0.0055,25.4,,,
2.16,640,234.7,0.0055,25.4,,,
