Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-74.8,NaN,25.4,,,
0.06,12,-76,0.005,25.5,,,
0.12,33,-67.2,0.003,25.5,,,
0.18,53,-56,0.003,25.5,,,
0.24,73,-40.6,0.003,25.5,,,
0.3,93,-19.8,0.003,25.5,,,
0.36,113,-3.2,0.003,25.5,,,
0.42,133,7.9,0.003,25.5,,,
0.48,153,16.9,0.003,25.5,,,
0.54,174,24.6,0.003,25.5,,,
0.6,194,31.5,0.003,25.5,,,
0.66,214,38.1,0.003,25.5,,,
0.72,234,44.2,0.003,25.5,,,
0.78,254,50,0.003,25.5,,,
0.84,274,55.9,0.003,25.5,,,
0.9,294,61.5,0.003,25.5,,,
0.96,315,67.4,0.003,25.5,,,
1.02,335,73.5,0.003,25.5,,,
1.08,354,80.1,0.003,25.4,,,
1.14,373,87.5,0.003,25.4,,,
1.2,390,96.5,0.0035,25.4,,,
1.26,406,108.4,0.0035,25.4,263.96,2.42,
1.32,420,125.4,0.0045,25.4,316.12,2.5,
1.38,432,150.6,0.005,25.4,341.36,2.53,
1.44,440,173,0.0075,25.4,320.16,2.51,
1.5,446,186.8,0.01,25.4,252.53,2.4,
1.53,543,192,0.0005,25.4,197.66,2.3,
1.56,549,196.4,0.005,25.4,138.08,2.14,
1.59,555,200,0.0055,25.4,109.34,2.04,
1.62,560,203.3,0.0055,25.4,100.13,2,
1.65,566,206.2,0.005,25.4,90.54,1.96,
1.68,571,208.8,0.0055,25.4,81.81,1.91,
1.71,576,211.2,0.0055,25.4,75.3,1.88,
1.74,582,213.3,0.0055,25.4,69.65,1.84,
1.77,587,215.3,0.0055,25.4,65.22,1.81,
1.8,593,217.2,0.005,25.4,60.93,1.78,
1.83,598,219.1,0.0055,25.4,56.94,1.76,
1.86,604,220.7,0.0055,25.4,53.28,1.73,
1.89,609,222.2,0.0065,25.4,49.43,1.69,
1.92,614,223.6,0.0065,25.4,46.27,1.67,
1.95,619,225,0.006,25.4,43.95,1.64,
1.98,624,226.3,0.006,25.4,41.94,1.62,
2.01,629,227.5,0.006,25.4,39.61,1.6,
2.04,634,228.7,0.006,25.4,38,1.58,
2.07,639,229.8,0.006,25.4,36.62,1.56,
2.1,644,230.8,0.006,25.4,35.47,1.55,
2.13,649,231.9,0.0055,25.4,,,
2.16,654,233,0.0055,25.4,,,
2.19,660,233.9,0.0055,25.4,,,
2.22,665,234.8,0.0065,25.4,,,
2.25,670,235.7,0.0065,25.4,,,
Scope 1/1, Sample 1/18 (CRM),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-30.9,NaN,25.3,,,
0.06,4,-49.4,0.014,25.3,,,
0.12,24,-32.9,0.003,25.3,,,
0.18,45,-11.9,0.003,25.3,,,
0.24,65,1.2,0.003,25.3,,,
0.3,85,10.4,0.003,25.3,,,
0.36,105,18.1,0.003,25.3,,,
0.42,125,25.3,0.003,25.3,,,
0.48,145,31.9,0.003,25.3,,,
0.54,165,38,0.003,25.3,,,
0.6,185,43.6,0.003,25.3,,,
0.66,206,48.9,0.003,25.3,,,
0.72,226,53.9,0.003,25.3,,,
0.78,246,59,0.003,25.3,,,
0.84,266,64.1,0.003,25.3,,,
0.9,284,69.3,0.0035,25.3,,,
0.96,303,75,0.003,25.3,,,
1.02,321,81.3,0.0035,25.3,,,
1.08,340,88.7,0.003,25.3,,,
1.14,356,97.4,0.0035,25.3,,,
1.2,374,109.2,0.0035,25.3,260.84,2.42,
1.26,389,126.4,0.004,25.3,312.25,2.49,
1.32,400,150.7,0.005,25.3,336.73,2.53,
1.38,408,172.9,0.007,25.3,316.18,2.5,
1.44,415,186.8,0.009,25.3,249.65,2.4,
1.47,511,191.8,0.0005,25.3,196.13,2.29,
1.5,517,196.1,0.0045,25.3,139,2.14,
1.53,523,199.9,0.005,25.3,109.12,2.04,
1.56,529,203.2,0.005,25.3,99.9,2,
1.59,534,206,0.006,25.3,91.09,1.96,
1.62,540,208.6,0.0055,25.3,82.39,1.92,
1.65,545,211,0.006,25.3,75.44,1.88,
1.68,550,213.2,0.0055,25.3,69.64,1.84,
1.71,556,215.2,0.0055,25.3,64.75,1.81,
1.74,561,217.1,0.0065,25.3,59.9,1.78,
1.77,566,218.8,0.006,25.3,55.88,1.75,
1.8,571,220.4,0.006,25.3,52.62,1.72,
1.83,576,222,0.006,25.3,49.61,1.7,
1.86,581,223.4,0.0055,25.3,46.94,1.67,
1.89,586,224.8,0.0055,25.3,44.48,1.65,
1.92,592,226.1,0.0055,25.3,42.13,1.62,
1.95,597,227.3,0.0065,25.3,39.95,1.6,
1.98,602,228.5,0.0065,25.3,38.14,1.58,
2.01,607,229.6,0.006,25.3,36.47,1.56,
2.04,612,230.7,0.006,25.3,35.15,1.55,
2.07,617,231.7,0.006,25.3,,,
2.1,622,232.7,0.006,25.3,,,
2.13,627,233.7,0.006,25.3,,,
2.16,632,234.6,0.0055,25.3,,,
2.19,638,235.5,0.0055,25.3,,,
Scope 1/1, Sample 1/18 (Junk2),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-81.1,NaN,25.3,,,
0.06,9,-82.6,0.0065,25.4,,,
0.12,29,-74.3,0.003,25.4,,,
0.18,49,-64.6,0.003,25.4,,,
0.24,69,-51.4,0.003,25.4,,,
